sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
174,1741569,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
175,1752277,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
176,1761557,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
177,1772284,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
178,1782379,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
179,1792654,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
180,1801920,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
181,1812183,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
182,1822451,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
183,1835714,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
184,1842232,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
185,1852493,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
186,1862244,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
187,1872270,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
188,1881667,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
189,1892482,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
190,1902238,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
191,1912259,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
192,1922278,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
193,1934908,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
194,1941591,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
195,1952025,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
196,1962261,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
197,1972025,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
198,1982512,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
199,1991634,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
200,2002573,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
201,2013255,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
202,2022185,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
203,2035304,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
204,2042541,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
205,2052704,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
206,2062745,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
207,2071842,1,1,-0.178,-1.402,-0.159,-1.403,-0.01167430695,2.111049752e-06
208,2082108,1,1,-0.178,-1.402,-0.159,-1.403,-0.01167430695,2.111049752e-06
209,2092359,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
210,2102628,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
211,2111669,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
212,2122270,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
213,2135412,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
214,2142237,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
215,2152510,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
216,2162249,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
217,2172295,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
218,2182057,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
219,2192191,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
220,2202173,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
221,2212194,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
222,2222377,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
223,2235058,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
224,2242151,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
225,2252068,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
226,2262290,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
227,2272979,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
228,2282503,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
229,2292505,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
230,2302061,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
231,2312310,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
232,2322581,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
233,2334765,1,1,-0.177,-1.399,-0.159,-1.403,-0.01105986975,8.444199006e-06
