tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,axis6_pos_abs_mm,axis7_pos_abs_mm,ain0_raw_v,ain1_raw_v
865062,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865062,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865062,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865078,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865078,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865078,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865078,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865078,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865078,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865093,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865093,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865093,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865093,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865093,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865093,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865109,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865109,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865109,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865109,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865109,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865109,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865125,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865125,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865125,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.375000
865125,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865125,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865125,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865140,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865140,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865140,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865140,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865140,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865156,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865156,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865156,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865156,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865156,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865156,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865171,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865171,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865171,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865171,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865171,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865171,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865187,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865187,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865187,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865187,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865187,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865187,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865203,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865203,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865203,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865203,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865203,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865203,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865218,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865234,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865234,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865234,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865234,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865234,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865250,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865250,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.375000
865250,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865250,-0.0275,0.0000,0.0000,0.0000,-0.499000,-0.376000
865250,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.375000
865250,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865250,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
865265,-0.0275,-0.0006,0.0000,0.0000,-0.499000,-0.376000
